Date,Open,High,Low,Close,Volume
2017-03-31,5.05,5.1,5.0,5.0,2148584
2017-04-03,5.05,5.25,4.95,5.05,3703568
2017-04-05,5.1,5.15,4.95,5.0,8399053
2017-04-06,5.0,5.15,4.9,4.95,5467637
2017-04-07,4.9,4.95,4.8,4.85,5734564
2017-04-10,4.85,4.95,4.75,4.85,3184623
2017-04-11,4.85,4.95,4.5,4.75,7726899
2017-04-12,4.8,4.85,4.65,4.75,2294034
2017-04-13,4.75,4.8,4.65,4.7,1934564
2017-04-17,4.7,4.75,4.6,4.65,2398942
2017-04-18,4.7,4.9,4.65,4.7,4542197
2017-04-19,4.7,4.8,4.7,4.7,1538919
2017-04-20,4.75,4.8,4.65,4.7,1513623
2017-04-21,4.75,4.85,4.7,4.8,1773729
2017-04-24,4.85,5.15,4.8,5.05,6139503
2017-04-25,5.15,5.2,4.9,4.95,3504499
2017-04-26,5.0,5.15,4.85,4.9,5576262
2017-04-27,4.95,5.0,4.8,4.9,2596993
2017-04-28,4.9,5.0,4.8,4.85,2885112
2017-05-02,4.85,5.0,4.8,4.85,1896903
2017-05-03,4.85,4.9,4.7,4.75,1686850
2017-05-04,4.8,4.8,4.7,4.75,737334
2017-05-05,4.8,4.8,4.6,4.65,2013551
2017-05-08,4.75,4.75,4.6,4.65,1463833
2017-05-09,4.65,4.75,4.6,4.65,959439
2017-05-10,4.7,4.75,4.6,4.7,946299
2017-05-11,4.7,4.75,4.6,4.65,1754542
2017-05-12,4.65,4.7,4.6,4.65,1217380
2017-05-15,4.65,4.7,4.6,4.65,1179783
2017-05-16,4.65,4.7,4.6,4.65,1833209
2017-05-17,4.65,4.7,4.6,4.6,1204456
2017-05-18,4.6,4.95,4.45,4.65,8915152
2017-05-19,4.75,4.75,4.6,4.6,1115038
2017-05-22,4.65,4.65,4.5,4.5,1911320
2017-05-23,4.55,4.55,4.1,4.25,4181101
2017-05-24,4.2,4.25,3.95,4.0,5650307
2017-05-25,4.05,4.3,4.05,4.25,2987779
2017-05-26,4.35,4.6,4.2,4.45,5269235
2017-05-29,4.45,4.55,4.15,4.2,2485546
2017-05-30,4.15,4.25,4.05,4.15,2406789
2017-05-31,4.25,4.3,4.1,4.15,2585792
2017-06-01,4.2,4.25,4.1,4.15,1468544
2017-06-02,4.15,4.35,4.1,4.2,2258349
2017-06-05,4.35,4.45,4.25,4.3,1800102
2017-06-06,4.3,4.3,4.1,4.2,1728967
2017-06-07,4.2,4.25,4.15,4.15,679833
2017-06-08,4.2,4.2,4.1,4.15,933239
2017-06-09,4.2,4.3,4.1,4.15,1737503
2017-06-12,4.15,4.2,4.1,4.15,789861
2017-06-13,4.2,4.65,4.15,4.25,3885087
2017-06-14,4.3,4.3,4.15,4.2,1506497
2017-06-15,4.2,4.35,4.1,4.25,2158171
2017-06-16,4.3,4.3,4.2,4.2,1103222
2017-06-19,4.2,4.25,4.15,4.15,845266
2017-06-20,4.2,4.2,4.1,4.15,1273790
2017-06-21,4.2,4.25,4.1,4.1,1840147
2017-06-22,4.2,4.5,4.15,4.25,8531796
2017-06-23,4.3,4.75,4.2,4.6,7485356
2017-06-27,4.75,5.5,4.75,5.4,37042850
2017-06-28,5.6,5.9,5.2,5.25,23010660
2017-06-29,5.35,5.6,5.2,5.45,20075480
2017-06-30,5.5,5.9,5.35,5.6,19768442
2017-07-03,5.7,5.75,5.3,5.35,7623454
2017-07-04,5.35,5.35,4.9,5.05,7276938
2017-07-05,5.1,5.4,5.05,5.25,8480543
2017-07-06,5.25,5.3,5.05,5.1,4622533
2017-07-07,5.05,5.35,5.05,5.3,8608436
2017-07-10,5.3,5.5,4.35,5.45,2611539
2017-07-11,5.5,5.6,5.15,5.2,6234933
2017-07-12,5.25,5.3,5.0,5.05,6963605
2017-07-13,5.05,5.15,4.95,4.95,3848634
2017-07-14,5.0,5.05,4.85,4.9,4181094
2017-07-17,5.0,5.1,4.95,5.05,4277274
2017-07-18,5.0,5.05,4.9,4.95,2610804
2017-07-19,4.95,5.2,4.95,5.0,8750701
2017-07-20,5.0,5.05,4.9,4.95,3124252
2017-07-21,5.2,5.5,5.15,5.45,23074785
2017-07-24,5.55,6.5,5.5,6.5,83203105
