Date,Open,High,Low,Close,Volume
2017-01-30,174.000046,175.500046,171.562546,174.656296,4926966
2017-01-31,174.675049,174.675049,167.006287,171.750046,7314203
2017-02-01,172.875046,172.875046,168.750046,171.000046,4375377
2017-02-02,171.000046,171.731293,167.287537,170.86879,4085865
2017-02-03,171.000046,172.350037,170.287537,171.656296,2341226
2017-02-06,171.99379,173.550049,170.437546,172.912537,3299759
2017-02-07,173.250046,173.250046,170.831299,171.956299,2229884
2017-02-08,171.881287,174.43129,171.412537,172.687546,3503852
2017-02-09,171.862549,175.068787,171.506287,174.750046,2637068
2017-02-10,175.256287,177.075043,174.15004,175.968796,2046724
2017-02-13,175.500046,178.500046,175.218796,177.918793,2261735
2017-02-14,178.93129,179.137543,177.075043,178.762543,2309530
2017-02-15,178.706299,179.737549,175.725037,178.012543,2820244
2017-02-16,177.375046,180.71254,177.375046,180.300049,2833505
2017-02-17,180.750046,181.36879,177.768799,178.256287,2105346
2017-02-20,178.125046,179.02504,177.393799,178.36879,1527271
2017-02-21,178.125046,180.281296,177.80629,178.425049,3414705
2017-02-22,178.162537,179.081299,176.325043,177.937546,2779388
2017-02-23,177.937546,183.468796,176.831299,182.287552,4346932
2017-02-27,180.000046,184.725052,179.86879,183.656296,3764100
2017-02-28,183.750046,184.575043,182.643799,183.300049,2700569
2017-03-01,183.000046,185.68129,182.175049,183.206299,2713151
2017-03-02,185.250046,185.793793,183.037552,183.825043,2711537
2017-03-03,184.050049,185.86879,182.700043,185.193802,1973647
2017-03-06,184.237549,184.74379,183.225052,184.46254,1571650
2017-03-07,185.062546,187.350052,184.46254,185.68129,4400540
2017-03-08,185.49379,186.075043,183.487549,185.662552,1532335
2017-03-09,184.875046,184.875046,181.256302,181.687546,1879719
2017-03-10,181.912552,183.356293,181.350052,182.643799,1457202
2017-03-14,183.750046,189.225052,183.52504,188.006302,3276623
2017-03-15,189.637543,189.71254,184.65004,185.550049,4803804
2017-03-16,186.487549,188.58754,185.625046,187.706299,4424444
2017-03-17,189.000046,190.125046,187.106293,189.093796,4437908
2017-03-20,189.000046,189.093796,185.700043,186.562546,1875940
2017-03-21,184.912552,188.250046,184.912552,186.99379,2975695
2017-03-22,185.062546,188.77504,184.500046,187.706299,5310041
2017-03-23,188.625046,192.000046,187.83754,191.250046,7461435
2017-03-24,191.043793,192.750046,191.043793,192.468796,4031028
2017-03-27,190.631302,192.168793,188.550049,189.000046,2616356
2017-03-28,189.375046,191.625046,188.512543,190.331299,1661626
2017-03-29,190.668793,192.712555,188.325043,192.093796,2690353
2017-03-30,191.531296,194.512543,189.90004,193.481293,7145160
2017-03-31,192.075043,194.118805,191.175049,193.387543,4030822
2017-04-03,193.668793,193.687546,189.61879,190.162552,2080143
2017-04-05,189.750046,192.000046,188.287552,191.49379,3251407
2017-04-06,190.162552,193.331299,189.918793,193.012543,3990145
2017-04-07,192.525055,192.562546,190.83754,191.96254,6098489
2017-04-10,193.106293,194.175049,188.437546,189.15004,6899403
2017-04-11,188.925049,191.77504,187.575043,191.30629,3151996
2017-04-12,191.137543,191.193802,187.237549,187.781296,3629161
2017-04-13,187.781296,188.981293,184.612549,185.77504,4837382
2017-04-17,185.906296,185.906296,183.787552,184.612549,3899129
2017-04-18,184.125046,186.656296,183.975052,185.250046,3142655
2017-04-19,186.562546,187.331299,183.862549,186.843796,3271729
2017-04-20,186.750046,189.412552,186.018799,187.406296,2512823
2017-04-21,187.500046,188.77504,181.125046,184.218796,4222900
2017-04-24,182.77504,185.625046,181.725052,184.331299,3443676
2017-04-25,185.062546,187.500046,183.43129,185.362549,5885353
2017-04-26,188.625046,192.187546,183.225052,184.068802,30257016
2017-04-27,185.21254,186.80629,183.15004,186.018799,9932050
2017-04-28,186.375046,186.637543,183.768799,185.343796,6043331
2017-05-02,186.05629,186.731293,185.100052,185.58754,2784247
2017-05-03,186.787552,187.387543,185.343796,186.168793,2032690
2017-05-04,186.43129,187.987549,185.21254,187.481293,2024463
2017-05-05,187.387543,187.875046,186.131302,187.237549,1361452
2017-05-08,187.500046,189.112549,186.037552,188.362549,2501020
2017-05-09,189.000046,191.156296,187.706299,190.83754,3790916
2017-05-10,190.27504,191.30629,186.99379,187.36879,2229532
2017-05-11,188.568802,189.656296,187.65004,189.24379,1696898
2017-05-12,189.61879,190.425049,189.075043,190.143799,3015551
2017-05-15,191.250046,191.250046,188.11879,189.862549,1774834
2017-05-16,189.562546,193.575043,189.562546,193.256302,3573423
2017-05-17,193.875046,194.062546,190.500046,191.456299,3681313
2017-05-18,190.106293,197.943802,189.675049,197.025055,8561821
2017-05-19,197.625046,197.943802,194.268799,194.906296,2548807
2017-05-22,195.637543,196.256302,189.956299,195.450043,2866535
2017-05-23,195.750046,198.375046,195.075043,197.400055,4367670
2017-05-24,197.887543,199.575043,194.943802,196.875046,3318495
2017-05-25,197.118805,202.012543,197.118805,201.168793,10050050
2017-05-26,200.250046,204.337555,199.350052,202.125046,3882921
2017-05-29,202.125046,202.143799,198.750046,200.475052,1583471
2017-05-30,198.750046,202.500046,198.525055,201.056305,3318689
2017-05-31,201.581299,202.500046,199.875046,200.812546,7821499
2017-06-01,200.793793,204.375046,200.475052,202.931305,2125410
2017-06-02,203.643799,207.712555,202.800049,206.868805,3214036
2017-06-05,206.831299,209.212555,204.956299,208.331299,4816985
2017-06-06,208.500046,213.000046,206.831299,210.206299,5524971
2017-06-07,210.075058,210.562546,200.718796,206.025055,6881107
2017-06-08,206.212555,207.375046,203.118805,204.712555,4000897
2017-06-09,204.018799,204.018799,199.350052,201.356293,4692305
2017-06-12,200.850052,200.850052,195.243805,197.381302,6198038
2017-06-13,195.000046,200.025055,192.562546,194.250046,4473021
2017-06-14,195.975052,195.975052,189.225052,192.075043,4040258
2017-06-15,195.000046,196.425049,191.287552,195.637543,4158901
2017-06-16,195.075043,197.325043,189.600052,191.437546,4015144
2017-06-19,192.000046,193.425049,190.012543,190.912552,1945835
